Number,Address,Latitude,Longitude,Station,CB
1,Angle rue Pierre FOURIER et rue des Dominicains,48.6924654452072,6.18340055389445,DOMINICAINS  FOURIER (CB),1
2,Angle Place de la Carrière et rue des Maréchaux,48.6945981637388,6.18229408637817,PLACE DE LA CARRIERE,0
3,Rue Stanislas - Face au n°68,48.6919579483934,6.17851021950761,PLACE DE DOMBASLE,0
4,Angle rue Saint-Dizier - Rue du Dr SCHMITT,48.6891733257851,6.18390463043762,MARCHE CENTRAL (CB),1
5,Rue Drouin - Face au n°2,48.6921301,6.1872695,PLACE COLONEL DRIANT,0
6,2 rue Emilie du Châtelet,48.695420147586,6.19522861327582,LES  RIVES,0
7,Place du Colonel Fabien,48.6952351,6.1798109,PLACE ST EPVRE,0
8,Angle rue Saint-Michel et cours Léopold,48.6956140662607,6.17676840786255,COURS LEOPOLD  SAINT MICHEL,0
9,Place Barrois,48.6995023285111,6.20473563987354,PLACE BARROIS,0
10,Rue Mazagran,48.69037,6.175677,GARE THIERS (CB),1
12,Angle rue Saint-Thiebaut et rue du Grand Rabbin HAGUENAUER,48.6886141256403,6.17950010441818,ST SEBASTIEN  ST THIEBAUT,0
13,71 rue Saint-Nicolas,48.688015,6.187451,SAINT NICOLAS  CHARLES III,0
14,Place Godefroy de Bouillon,48.6928180794454,6.16860978784457,FAC DE LETTRES,0
15,Angle rue Henri BAZIN et quai Sainte-Catherine,48.6954870039528,6.1906794896667,PORT STE CATHERINE,0
16,Angle rue du Haut Bourgeois et place des Bourgets,48.6984724451821,6.17798553705909,PORTE DE LA CRAFFE,0
17,27 rue Baron Louis - Angle quai Claude le Lorrain,48.6957176856775,6.17133838702303,CONSERVATOIRE  MANUFACTURE,0
18,Angle rue Saint-Léon - Esplanade Saint-Léon,48.689560111075,6.17251545229862,GARE SAINT LEON,0
19,Angle rue Pierre CHALNOT et rue de la Commanderie,48.6869197241039,6.17234789239391,COMMANDERIE  CHALNOT,0
20,Angle avenue du Général Leclerc et rue du Maréchal De Lattre de Tassigny,48.684781,6.187631,PLACE DES VOSGES,0
21,45 avenue du Maréchal de Lattre de Tassigny,48.6833502130976,6.19029660801914,HOPITAL CENTRAL,0
22,Angle rue Molitor et rue Foller,48.6858574026886,6.19290171469907,HOPITAL ST JULIEN,0
23,Promenade des Canaux,48.6927939742599,6.19628435757015,PROMENADE DES CANAUX,0
24,rue du faubourg des 3 Maisons - Angle boulevard Charles V,48.701365,6.176824,MAISONS  CHARLES V (CB),1
25,Place de la Commanderie - Face au n°13,48.6859179816784,6.1674218161464,PLACE COMMANDERIE,0
26,Rue des 3 Epis Baudricourt,48.675248491826174,6.162844844269929,BAUDRICOURT HAUSSONVILLE,0
27,Rue du Sergent Blandan,48.679501,6.167344,NANCY THERMAL (CB),1
28,Boulevard d'Haussonville,48.67227619793021,6.165710709115886,MARCHÉ D'HAUSSONVILLE,0
29,Place du Vélodrome,48.666721193896,6.16661978303466,VELODROME (CB),1
30,au milieu du boulevard des Nations  à Vandoeuvre dans le prolongement de l’arrêt de bus Nations devant le centre commercial,48.662356,6.173442,NATIONS,0
31,en face du 119 rue du Sergent Blandan,48.674665,6.170655,ARTEM,0
32,en face du 1 Boulevard Charlemagne Nancy,48.685497,6.161015,MEDREVILLE,0
33,9 av Paul Déroulède,48.684954,6.154908,LAXOU MAIRIE,0
34,Square Waldstetten  en face du 6 rue Maurice Barrès MALZEVILLE,48.707187,6.185524,MALZEVILLE,0
35,Croisement rue Mon Désert et Bd de l'American Légion,48.684141,6.176525,MON DESERT,0
36,100 Avenue du Général Leclerc,48.680516,6.181811,SAURUPT,0
37,En face du 19 rue des Jardiniers,48.691291,6.190844,JARDINIERS  TIERCELINS,0
